customer_city,customer_state,merge_id,seller_city,seller_state,product_category_name,product_weight_g,product_height_cm,product_width_cm
franca,SP,0,campinas,SP,perfumaria,225.0,10.0,14.0
sao bernardo do campo,SP,1,mogi guacu,SP,artes,1000.0,18.0,20.0
sao paulo,SP,2,rio de janeiro,RJ,esporte_lazer,154.0,9.0,15.0
mogi das cruzes,SP,3,sao paulo,SP,bebes,371.0,4.0,26.0
campinas,SP,4,braganca paulista,SP,utilidades_domesticas,625.0,17.0,13.0
jaragua do sul,SC,5,rio de janeiro,RJ,instrumentos_musicais,200.0,5.0,11.0
sao paulo,SP,6,brejao,PE,cool_stuff,18350.0,24.0,44.0
timoteo,MG,7,penapolis,SP,moveis_decoracao,900.0,8.0,40.0
curitiba,PR,8,sao paulo,SP,eletrodomesticos,400.0,13.0,17.0
belo horizonte,MG,9,curitiba,PR,brinquedos,600.0,10.0,12.0
montes claros,MG,10,anapolis,GO,cama_mesa_banho,1100.0,10.0,16.0
rio de janeiro,RJ,11,itirapina,SP,bebes,7150.0,19.0,45.0
lencois paulista,SP,12,sao paulo,SP,instrumentos_musicais,250.0,7.0,17.0
sao paulo,SP,13,sao paulo,SP,moveis_decoracao,600.0,11.0,13.0
caxias do sul,RS,14,tubarao,SC,construcao_ferramentas_seguranca,200.0,7.0,17.0
piracicaba,SP,15,lauro de freitas,BA,esporte_lazer,800.0,2.0,11.0
rio de janeiro,RJ,16,imbituba,SC,perfumaria,400.0,5.0,20.0
guarulhos,SP,17,brasilia,DF,informatica_acessorios,900.0,15.0,20.0
sao paulo,SP,18,porto seguro,BA,moveis_decoracao,1700.0,7.0,15.0
pacaja,PA,19,sao paulo,SP,cama_mesa_banho,500.0,10.0,16.0
florianopolis,SC,20,guaruja,SP,moveis_decoracao,2550.0,24.0,45.0
aparecida de goiania,GO,21,tabatinga,SP,cama_mesa_banho,800.0,8.0,16.0
sao paulo,SP,22,sao paulo,SP,beleza_saude,75.0,7.0,13.0
curitiba,PR,23,salto,SP,bebes,500.0,13.0,13.0
sao paulo,SP,24,tres de maio,RS,moveis_decoracao,1800.0,10.0,30.0
santo andre,SP,25,belo horizonte,MG,utilidades_domesticas,900.0,5.0,50.0
goiania,GO,26,arapongas,PR,malas_acessorios,3600.0,25.0,50.0
sao paulo,SP,27,sao bernardo do campo,SP,informatica_acessorios,300.0,2.0,30.0
cachoeiro de itapemirim,ES,28,sao paulo,SP,informatica_acessorios,740.0,13.0,13.0
sao paulo,SP,29,tatui,SP,esporte_lazer,3600.0,23.0,23.0
sao jose dos campos,SP,30,curitiba,PR,cama_mesa_banho,650.0,10.0,16.0
sao roque,SP,31,sao paulo,SP,ferramentas_jardim,2150.0,8.0,34.0
camacari,BA,32,garopaba,SC,moveis_decoracao,800.0,10.0,34.0
resende,RJ,33,sao paulo,SP,moveis_escritorio,8950.0,51.0,17.0
curitiba,PR,34,camanducaia,MG,esporte_lazer,1388.0,9.0,31.0
sumare,SP,35,tupa,SP,bebes,7950.0,30.0,44.0
guarulhos,SP,36,guarulhos,SP,automotivo,6000.0,3.0,42.0
novo hamburgo,RS,37,sao jose dos pinhais,PR,eletronicos,263.0,12.0,16.0
sao luis,MA,38,sao paulo,SP,utilidades_domesticas,3900.0,20.0,15.0
sao jose,SC,39,sao paulo,SP,moveis_decoracao,600.0,25.0,25.0
guarulhos,SP,40,brasilia,DF,moveis_decoracao,2050.0,13.0,41.0
santa barbara,MG,41,brasilia,DF,brinquedos,725.0,17.0,15.0
sao paulo,SP,42,sao ludgero,SC,cama_mesa_banho,6350.0,15.0,35.0
guarulhos,SP,43,sao jose,SC,bebes,600.0,11.0,11.0
ribeirao preto,SP,44,piracicaba,SP,cool_stuff,11750.0,40.0,79.0
belo horizonte,MG,45,porto alegre,RS,brinquedos,2550.0,32.0,38.0
ituiutaba,MG,46,congonhal,MG,cool_stuff,15350.0,40.0,47.0
taquarituba,SP,47,belo horizonte,MG,moveis_decoracao,1300.0,16.0,25.0
sao jose dos pinhais,PR,48,belo horizonte,MG,moveis_decoracao,850.0,11.0,11.0
jaragua do sul,SC,49,santo andre,SP,beleza_saude,1300.0,28.0,17.0
sao paulo,SP,50,sao paulo,SP,esporte_lazer,4800.0,30.0,15.0
montes claros,MG,51,osasco,SP,cool_stuff,1300.0,16.0,24.0
barrinha,SP,52,valinhos,SP,automotivo,220.0,14.0,17.0
rio de janeiro,RJ,53,joinville,SC,bebes,5700.0,17.0,49.0
parati,RJ,54,guaruja,SP,malas_acessorios,450.0,40.0,30.0
dourados,MS,55,saquarema,RJ,fashion_calcados,2000.0,12.0,37.0
sao paulo,SP,56,barra velha,SC,telefonia,100.0,3.0,11.0
trindade,GO,57,petropolis,RJ,cool_stuff,1100.0,20.0,23.0
cascavel,PR,58,santo antonio da patrulha,RS,papelaria,1400.0,40.0,39.0
fortaleza,CE,59,ponta grossa,PR,brinquedos,250.0,14.0,12.0
brasilia,DF,60,santana de parnaiba,SP,esporte_lazer,1050.0,20.0,14.0
sao paulo,SP,61,santo andre,SP,papelaria,500.0,7.0,16.0
pelotas,RS,62,sao carlos,SP,beleza_saude,1467.0,16.0,20.0
porto alegre,RS,63,osasco,SP,fashion_bolsas_e_acessorios,100.0,5.0,11.0
rio de janeiro,RJ,64,ibitinga,SP,papelaria,100.0,5.0,16.0
salto,SP,65,sao paulo,SP,papelaria,300.0,7.0,15.0
belo horizonte,MG,66,sao jose dos pinhais,PR,esporte_lazer,950.0,15.0,15.0
jundiai,SP,67,sao paulo,SP,ferramentas_jardim,250.0,3.0,11.0
cachoeiro de itapemirim,ES,68,barueri,SP,pcs,12000.0,50.0,53.0
cacapava,SP,69,osasco,SP,automotivo,921.0,9.0,16.0
fortaleza,CE,70,caxias do sul,SP,casa_construcao,10000.0,25.0,25.0
sao vicente,SP,71,sao paulo,SP,relogios_presentes,250.0,11.0,11.0
uberlandia,MG,72,joinville,SC,cool_stuff,1200.0,20.0,20.0
